sku,date,quantity-available
AMZ-00001,2026-07-15,22
AMZ-00001,2026-08-15,18
AMZ-00002,2026-07-15,604
AMZ-00002,2026-08-15,559
AMZ-00003,2026-07-15,72
AMZ-00003,2026-08-15,0
AMZ-00004,2026-07-15,532
AMZ-00004,2026-08-15,538
AMZ-00005,2026-07-15,422
AMZ-00005,2026-08-15,385
AMZ-00006,2026-07-15,267
AMZ-00006,2026-08-15,254
AMZ-00007,2026-07-15,184
AMZ-00007,2026-08-15,222
AMZ-00008,2026-07-15,488
AMZ-00008,2026-08-15,485
AMZ-00009,2026-07-15,241
AMZ-00009,2026-08-15,219
AMZ-00010,2026-07-15,559
AMZ-00010,2026-08-15,523
AMZ-00011,2026-07-15,647
AMZ-00011,2026-08-15,579
AMZ-00012,2026-07-15,17
AMZ-00012,2026-08-15,15
AMZ-00013,2026-07-15,73
AMZ-00013,2026-08-15,90
AMZ-00014,2026-07-15,469
AMZ-00014,2026-08-15,485
AMZ-00015,2026-07-15,193
AMZ-00015,2026-08-15,176
AMZ-00016,2026-07-15,362
AMZ-00016,2026-08-15,369
AMZ-00017,2026-07-15,108
AMZ-00017,2026-08-15,32
AMZ-00018,2026-07-15,377
AMZ-00018,2026-08-15,322
AMZ-00019,2026-07-15,693
AMZ-00019,2026-08-15,620
AMZ-00020,2026-07-15,276
AMZ-00020,2026-08-15,197
AMZ-00021,2026-07-15,365
AMZ-00021,2026-08-15,393
AMZ-00022,2026-07-15,41
AMZ-00022,2026-08-15,31
AMZ-00023,2026-07-15,18
AMZ-00023,2026-08-15,8
AMZ-00024,2026-07-15,64
AMZ-00024,2026-08-15,48
AMZ-00025,2026-07-15,40
AMZ-00025,2026-08-15,0
AMZ-00026,2026-07-15,69
AMZ-00026,2026-08-15,42
AMZ-00027,2026-07-15,569
AMZ-00027,2026-08-15,578
AMZ-00028,2026-07-15,445
AMZ-00028,2026-08-15,468
AMZ-00029,2026-07-15,506
AMZ-00029,2026-08-15,518
AMZ-00030,2026-07-15,335
AMZ-00030,2026-08-15,360
AMZ-00031,2026-07-15,527
AMZ-00031,2026-08-15,456
AMZ-00032,2026-07-15,328
AMZ-00032,2026-08-15,260
AMZ-00033,2026-07-15,278
AMZ-00033,2026-08-15,263
AMZ-00034,2026-07-15,19
AMZ-00034,2026-08-15,0
AMZ-00035,2026-07-15,510
AMZ-00035,2026-08-15,540
AMZ-00036,2026-07-15,555
AMZ-00036,2026-08-15,506
AMZ-00037,2026-07-15,450
