order-id,sku,purchase-date,quantity,item-price,item-promotion-discount,commission,shipping-price,item-tax
AMZ-260527-00001,AMZ-00102,2026-05-27,4,6555.24,331.36,893.51,120.00,907.45
AMZ-260815-00002,AMZ-00050,2026-08-15,1,3486.40,146.41,418.01,0.00,569.54
AMZ-260509-00003,AMZ-00004,2026-05-09,1,1774.97,50.91,256.67,80.00,206.73
AMZ-260603-00004,AMZ-00006,2026-06-03,1,1582.45,246.06,183.74,0.00,140.47
AMZ-260521-00005,AMZ-00113,2026-05-21,1,2632.46,285.43,342.87,0.00,113.30
AMZ-260731-00006,AMZ-00112,2026-07-31,2,2490.58,320.44,346.99,60.00,297.98
AMZ-260622-00007,AMZ-00100,2026-06-22,1,1630.60,103.73,211.25,0.00,114.73
AMZ-260607-00008,AMZ-00062,2026-06-07,2,2684.66,397.25,354.79,120.00,77.15
AMZ-260809-00009,AMZ-00018,2026-08-09,2,2980.66,199.88,398.65,0.00,486.46
AMZ-260728-00010,AMZ-00022,2026-07-28,4,12119.08,1521.70,1390.74,80.00,346.27
AMZ-260531-00011,AMZ-00035,2026-05-31,3,10399.32,883.14,1501.06,80.00,1150.53
AMZ-260604-00012,AMZ-00091,2026-06-04,2,2845.30,193.88,410.67,0.00,338.82
AMZ-260703-00013,AMZ-00033,2026-07-03,1,459.97,54.90,52.72,0.00,61.77
AMZ-260627-00014,AMZ-00106,2026-06-27,1,1609.66,212.39,186.90,60.00,106.96
AMZ-260711-00015,AMZ-00110,2026-07-11,4,6219.64,152.87,692.40,0.00,287.10
AMZ-260524-00016,AMZ-00086,2026-05-24,1,1779.26,168.29,223.92,0.00,212.82
AMZ-260827-00017,AMZ-00100,2026-08-27,1,1620.63,220.70,190.55,40.00,51.13
AMZ-260528-00018,AMZ-00107,2026-05-28,1,4094.47,272.70,512.10,0.00,142.89
AMZ-260816-00019,AMZ-00112,2026-08-16,2,2691.20,22.37,307.78,0.00,450.30
AMZ-260805-00020,AMZ-00101,2026-08-05,3,4226.97,542.42,572.99,120.00,541.34
AMZ-260728-00021,AMZ-00074,2026-07-28,3,3666.42,301.66,471.32,0.00,533.77
AMZ-260722-00022,AMZ-00095,2026-07-22,1,3028.81,67.73,383.93,60.00,301.09
AMZ-260610-00023,AMZ-00073,2026-06-10,1,691.94,36.26,94.96,0.00,56.99
AMZ-260804-00024,AMZ-00029,2026-08-04,1,2068.06,159.13,271.71,120.00,151.29
