SKU,Snapshot Date,Available Qty
FK-00001,15-07-2026,22
FK-00001,15-08-2026,0
FK-00002,15-07-2026,327
FK-00002,15-08-2026,309
FK-00003,15-07-2026,78
FK-00003,15-08-2026,78
FK-00004,15-07-2026,195
FK-00004,15-08-2026,117
FK-00005,15-07-2026,402
FK-00005,15-08-2026,328
FK-00006,15-07-2026,201
FK-00006,15-08-2026,211
FK-00007,15-07-2026,627
FK-00007,15-08-2026,639
FK-00008,15-07-2026,413
FK-00008,15-08-2026,364
FK-00009,15-07-2026,664
FK-00009,15-08-2026,654
FK-00010,15-07-2026,49
FK-00010,15-08-2026,54
FK-00011,15-07-2026,366
FK-00011,15-08-2026,387
FK-00012,15-07-2026,22
FK-00012,15-08-2026,0
FK-00013,15-07-2026,543
FK-00013,15-08-2026,501
FK-00014,15-07-2026,111
FK-00014,15-08-2026,138
FK-00015,15-07-2026,436
FK-00015,15-08-2026,373
FK-00016,15-07-2026,656
FK-00016,15-08-2026,641
FK-00017,15-07-2026,490
FK-00017,15-08-2026,526
FK-00018,15-07-2026,435
FK-00018,15-08-2026,407
FK-00019,15-07-2026,414
FK-00019,15-08-2026,414
FK-00020,15-07-2026,430
FK-00020,15-08-2026,374
FK-00021,15-07-2026,75
FK-00021,15-08-2026,44
FK-00022,15-07-2026,441
FK-00022,15-08-2026,448
FK-00023,15-07-2026,15
FK-00023,15-08-2026,52
FK-00024,15-07-2026,140
FK-00024,15-08-2026,123
FK-00025,15-07-2026,681
FK-00025,15-08-2026,602
FK-00026,15-07-2026,178
FK-00026,15-08-2026,123
FK-00027,15-07-2026,103
FK-00027,15-08-2026,84
FK-00028,15-07-2026,483
FK-00028,15-08-2026,483
FK-00029,15-07-2026,356
FK-00029,15-08-2026,370
FK-00030,15-07-2026,374
FK-00030,15-08-2026,296
FK-00031,15-07-2026,147
FK-00031,15-08-2026,152
FK-00032,15-07-2026,382
FK-00032,15-08-2026,340
FK-00033,15-07-2026,440
FK-00033,15-08-2026,484
FK-00034,15-07-2026,17
FK-00034,15-08-2026,55
FK-00035,15-07-2026,51
FK-00035,15-08-2026,61
FK-00036,15-07-2026,680
FK-00036,15-08-2026,682
FK-00037,15-07-2026,163
FK-00037,15-08-2026,135
FK-00038,15-07-2026,420
FK-00038,15-08-2026,461
FK-00039,15-07-2026,446
FK-00039,15-08-2026,426
FK-00040,15-07-2026,346
FK-00040,15-08-2026,341
FK-00041,15-07-2026,557
FK-00041,15-08-2026,530
FK-00042,15-07-2026,640
FK-00042,15-08-2026,597
FK-00043,15-07-2026,42
FK-00043,15-08-2026,40
FK-00044,15-07-2026,453
FK-00044,15-08-2026,396
FK-00045,15-07-2026,19
FK-00045,15-08-2026,4
FK-00046,15-07-2026,697
FK-00046,15-08-2026,645
FK-00047,15-07-2026,195
FK-00047,15-08-2026,181
FK-00048,15-07-2026,645
FK-00048,15-08-2026,617
FK-00049,15-07-2026,76
FK-00049,15-08-2026,63
FK-00050,15-07-2026,291
FK-00050,15-08-2026,334
FK-00051,15-07-2026,240
FK-00051,15-08-2026,278
FK-00052,15-07-2026,399
FK-00052,15-08-2026,323
FK-00053,15-07-2026,499
FK-00053,15-08-2026,533
FK-00054,15-07-2026,95
FK-00054,15-08-2026,20
FK-00055,15-07-2026,645
FK-00055,15-08-2026,631
FK-00056,15-07-2026,17
FK-00056,15-08-2026,0
FK-00057,15-07-2026,561
FK-00057,15-08-2026,505
FK-00058,15-07-2026,110
FK-00058,15-08-2026,100
FK-00059,15-07-2026,554
FK-00059,15-08-2026,539
FK-00060,15-07-2026,309
FK-00060,15-08-2026,343
FK-00061,15-07-2026,301
FK-00061,15-08-2026,299
FK-00062,15-07-2026,654
FK-00062,15-08-2026,662
FK-00063,15-07-2026,476
FK-00063,15-08-2026,398
FK-00064,15-07-2026,400
FK-00064,15-08-2026,413
FK-00065,15-07-2026,205
FK-00065,15-08-2026,232
FK-00066,15-07-2026,103
FK-00066,15-08-2026,141
FK-00067,15-07-2026,9
FK-00067,15-08-2026,15
FK-00068,15-07-2026,208
FK-00068,15-08-2026,157
FK-00069,15-07-2026,283
FK-00069,15-08-2026,204
FK-00070,15-07-2026,546
FK-00070,15-08-2026,570
FK-00071,15-07-2026,221
FK-00071,15-08-2026,253
FK-00072,15-07-2026,84
FK-00072,15-08-2026,64
FK-00073,15-07-2026,335
FK-00073,15-08-2026,348
FK-00074,15-07-2026,170
FK-00074,15-08-2026,202
FK-00075,15-07-2026,158
FK-00075,15-08-2026,110
FK-00076,15-07-2026,74
FK-00076,15-08-2026,93
FK-00077,15-07-2026,597
FK-00077,15-08-2026,618
FK-00078,15-07-2026,22
FK-00078,15-08-2026,0
FK-00079,15-07-2026,124
FK-00079,15-08-2026,52
FK-00080,15-07-2026,226
