Return Id,Order Id,SKU,Return Date,Quantity,Return Reason,Refund Amount
FK-RET-00001,FK-260731-00014,FK-00065,16-08-2026,1,Product not as expected,1822.81
FK-RET-00002,FK-260817-00039,FK-00096,15-09-2026,1,Missing accessory,1282.72
FK-RET-00003,FK-260814-00050,FK-00111,08-09-2026,1,Defective product,443.56
FK-RET-00004,FK-260814-00184,FK-00036,22-08-2026,1,Late delivery,555.97
FK-RET-00005,FK-260504-00265,FK-00020,17-04-2026,1,Customer changed mind,1164.5
FK-RET-00006,FK-260812-00080,FK-00073,15-12-2026,1,Defective product,649.98
FK-RET-00007,FK-260708-00004,FK-00113,14-08-2026,2,Size or fit issue,4653.06
FK-RET-00008,FK-260617-00013,FK-00029,21-06-2026,1,Customer changed mind,1593.98
FK-RET-00009,FK-260602-00393,FK-00080,07-03-2026,3,Customer changed mind,10902.11
FK-RET-00010,FK-260701-00297,FK-00104,13-01-2026,3,Missing accessory,7768.4
FK-RET-00011,FK-260620-00024,FK-00049,29-06-2026,1,Wrong item received,1905.3
FK-RET-00012,FK-260610-00100,FK-00058,17-10-2026,2,Quality concern,1695.32
FK-RET-00013,FK-260530-00303,FK-00032,17-06-2026,1,Customer changed mind,3490.41
FK-RET-00014,FK-260524-00051,FK-00015,09-06-2026,1,Missing accessory,551.73
FK-RET-00015,FK-260529-00186,FK-00083,23-06-2026,1,Duplicate purchase,2838.15
FK-RET-00016,FK-260712-00156,FK-00063,19-12-2026,4,Defective product,831.03
FK-RET-00017,FK-260510-00210,FK-00035,03-11-2026,1,Defective product,3501.48
FK-RET-00018,FK-260508-00115,FK-00101,03-09-2026,1,Duplicate purchase,1013.37
FK-RET-00019,FK-260525-00125,FK-00067,19-06-2026,2,Size or fit issue,2430.87
FK-RET-00020,FK-260801-00084,FK-00011,31-01-2026,2,Late delivery,4236.84
FK-RET-00021,FK-260530-00239,FK-00050,18-06-2026,1,Missing accessory,2947.9
FK-RET-00022,FK-260504-00325,FK-00050,22-04-2026,1,Damaged in transit,2881.95
FK-RET-00023,FK-260723-00093,FK-00065,28-07-2026,1,Missing accessory,1602.04
FK-RET-00024,FK-260813-00336,FK-00103,31-08-2026,1,Customer changed mind,1396.17
FK-RET-00025,FK-260621-00164,FK-00062,24-06-2026,1,Wrong item received,1181.57
FK-RET-00026,FK-260524-00066,FK-00031,05-06-2026,1,Customer changed mind,1395.87
