Order Id,SKU,Order Date,Quantity,Selling Price,Discount,Marketplace Fee,Shipping Charge,Taxes
FK-260604-00001,FK-00046,04-06-2026,1,2321.63,72.30,274.02,80.00,68.79
FK-260525-00002,FK-00105,25-05-2026,1,342.41,22.04,45.94,0.00,46.50
FK-260812-00003,FK-00094,12-08-2026,2,6026.96,880.73,703.03,0.00,222.88
FK-260708-00004,FK-00113,08-07-2026,4,10682.16,1140.68,1379.33,120.00,939.95
FK-260513-00005,FK-00059,13-05-2026,1,3181.34,118.37,364.72,0.00,397.90
FK-260819-00006,FK-00037,19-08-2026,4,5543.88,685.57,664.12,80.00,343.34
FK-260615-00007,FK-00036,15-06-2026,1,590.38,85.22,80.61,120.00,81.64
FK-260710-00008,FK-00043,10-07-2026,1,863.99,58.41,98.78,120.00,91.88
FK-260720-00009,FK-00008,20-07-2026,1,2614.85,207.75,326.03,0.00,392.75
FK-260523-00010,FK-00084,23-05-2026,2,2947.68,98.70,321.72,40.00,437.15
FK-260808-00011,FK-00086,08-08-2026,2,3720.56,513.69,497.58,80.00,236.21
FK-260819-00012,FK-00041,19-08-2026,2,3020.24,408.99,353.75,80.00,467.32
FK-260617-00013,FK-00029,17-06-2026,3,5748.15,852.52,703.33,80.00,436.51
FK-260731-00014,FK-00065,31-07-2026,1,1949.38,123.69,216.10,0.00,162.69
FK-260707-00015,FK-00022,07-07-2026,1,3123.36,35.04,371.12,80.00,358.93
FK-260708-00016,FK-00037,08-07-2026,2,2739.94,206.87,328.89,40.00,297.13
FK-260803-00017,FK-00015,03-08-2026,1,642.53,35.10,85.28,80.00,91.17
FK-260511-00018,FK-00033,11-05-2026,1,453.26,53.61,57.19,60.00,26.30
FK-260628-00019,FK-00021,28-06-2026,1,1188.40,72.50,163.44,40.00,180.06
FK-260522-00020,FK-00060,22-05-2026,3,4933.95,25.38,657.92,0.00,436.84
FK-260720-00021,FK-00103,20-07-2026,2,2828.10,367.56,336.16,40.00,335.70
FK-260607-00022,FK-00061,07-06-2026,4,8505.40,874.77,943.26,0.00,1341.46
FK-260808-00023,FK-00037,08-08-2026,1,1448.44,52.47,199.41,0.00,147.24
FK-260620-00024,FK-00049,20-06-2026,1,2312.35,298.74,270.02,40.00,167.72
FK-260531-00025,FK-00052,31-05-2026,1,1156.15,25.28,155.09,80.00,100.67
FK-260724-00026,FK-00108,24-07-2026,1,2286.95,122.25,271.14,0.00,153.28
FK-260507-00027,FK-00096,07-05-2026,1,1689.58,155.52,223.70,40.00,67.45
FK-260526-00028,FK-00065,26-05-2026,1,1839.36,230.36,199.97,80.00,98.05
FK-260827-00029,FK-00093,27-08-2026,1,656.77,76.08,68.90,0.00,90.36
FK-260618-00030,FK-00069,18-06-2026,4,2802.64,313.19,338.85,80.00,326.42
FK-260730-00031,FK-00053,30-07-2026,2,1434.44,72.47,195.10,120.00,55.66
FK-260511-00032,FK-00061,11-05-2026,1,2308.33,366.01,301.89,60.00,105.40
FK-260519-00033,FK-00027,19-05-2026,4,2188.72,124.22,263.75,0.00,262.79
FK-260703-00034,FK-00013,03-07-2026,1,1978.75,32.71,226.87,0.00,244.56
FK-260731-00035,FK-00038,31-07-2026,1,2961.66,255.49,343.18,60.00,460.71
FK-260725-00036,FK-00065,25-07-2026,3,5778.78,913.92,710.03,0.00,763.73
FK-260811-00037,FK-00064,11-08-2026,2,2626.04,323.69,314.41,0.00,413.81
FK-260624-00038,FK-00074,24-06-2026,1,1136.09,44.49,145.78,60.00,86.58
FK-260817-00039,FK-00096,17-08-2026,1,1556.05,217.41,160.95,0.00,179.41
FK-260627-00040,FK-00054,27-06-2026,1,1169.01,111.61,158.10,40.00,100.65
FK-260720-00041,FK-00091,20-07-2026,1,1337.85,204.61,172.06,60.00,200.71
FK-260530-00042,FK-00007,30-05-2026,1,2948.21,347.35,348.61,0.00,164.62
FK-260525-00043,FK-00066,25-05-2026,1,923.40,95.02,103.18,80.00,105.60
FK-260713-00044,FK-00063,13-07-2026,1,260.20,18.03,28.84,0.00,23.18
FK-260614-00045,FK-00092,14-06-2026,1,1242.71,12.77,143.60,60.00,178.50
FK-260603-00046,FK-00075,03-06-2026,1,647.83,33.26,87.99,40.00,88.32
FK-260823-00047,FK-00056,23-08-2026,2,5371.78,393.56,649.50,40.00,458.81
FK-260702-00048,FK-00026,02-07-2026,1,1271.38,25.20,155.17,0.00,114.11
FK-260527-00049,FK-00036,27-05-2026,4,2305.44,168.84,255.87,0.00,70.59
FK-260814-00050,FK-00111,14-08-2026,1,497.92,31.97,50.81,0.00,50.95
FK-260524-00051,FK-00015,24-05-2026,1,627.56,33.04,69.02,0.00,66.74
FK-260629-00052,FK-00050,29-06-2026,1,3155.40,64.05,433.32,120.00,160.69
FK-260717-00053,FK-00069,17-07-2026,2,1420.54,20.10,155.33,60.00,246.72
FK-260707-00054,FK-00105,07-07-2026,2,679.16,101.19,93.65,0.00,30.28
FK-260720-00055,FK-00058,20-07-2026,1,944.97,8.71,115.70,60.00,157.69
