Item Code,Stock Date,Stock Qty
POS-00001,15/07/2026,21
POS-00001,15/08/2026,0
POS-00002,15/07/2026,516
POS-00002,15/08/2026,483
POS-00003,15/07/2026,455
POS-00003,15/08/2026,490
POS-00004,15/07/2026,561
POS-00004,15/08/2026,484
POS-00005,15/07/2026,378
POS-00005,15/08/2026,403
POS-00006,15/07/2026,550
POS-00006,15/08/2026,534
POS-00007,15/07/2026,112
POS-00007,15/08/2026,71
POS-00008,15/07/2026,591
POS-00008,15/08/2026,564
POS-00009,15/07/2026,296
POS-00009,15/08/2026,221
POS-00010,15/07/2026,246
POS-00010,15/08/2026,199
POS-00011,15/07/2026,698
POS-00011,15/08/2026,686
POS-00012,15/07/2026,21
POS-00012,15/08/2026,5
POS-00013,15/07/2026,347
POS-00013,15/08/2026,371
POS-00014,15/07/2026,515
POS-00014,15/08/2026,518
POS-00015,15/07/2026,653
POS-00015,15/08/2026,685
POS-00016,15/07/2026,440
POS-00016,15/08/2026,480
POS-00017,15/07/2026,492
POS-00017,15/08/2026,438
POS-00018,15/07/2026,644
POS-00018,15/08/2026,569
POS-00019,15/07/2026,459
POS-00019,15/08/2026,415
POS-00020,15/07/2026,414
POS-00020,15/08/2026,398
POS-00021,15/07/2026,323
POS-00021,15/08/2026,343
POS-00022,15/07/2026,142
POS-00022,15/08/2026,89
POS-00023,15/07/2026,12
POS-00023,15/08/2026,0
POS-00024,15/07/2026,319
POS-00024,15/08/2026,312
POS-00025,15/07/2026,520
POS-00025,15/08/2026,449
POS-00026,15/07/2026,261
POS-00026,15/08/2026,291
POS-00027,15/07/2026,107
POS-00027,15/08/2026,76
POS-00028,15/07/2026,531
POS-00028,15/08/2026,511
POS-00029,15/07/2026,600
POS-00029,15/08/2026,617
POS-00030,15/07/2026,450
POS-00030,15/08/2026,402
POS-00031,15/07/2026,695
POS-00031,15/08/2026,731
POS-00032,15/07/2026,692
POS-00032,15/08/2026,720
POS-00033,15/07/2026,511
POS-00033,15/08/2026,439
POS-00034,15/07/2026,3
POS-00034,15/08/2026,27
POS-00035,15/07/2026,155
POS-00035,15/08/2026,192
POS-00036,15/07/2026,223
POS-00036,15/08/2026,263
POS-00037,15/07/2026,385
POS-00037,15/08/2026,426
POS-00038,15/07/2026,135
POS-00038,15/08/2026,101
POS-00039,15/07/2026,409
POS-00039,15/08/2026,351
POS-00040,15/07/2026,167
POS-00040,15/08/2026,120
POS-00041,15/07/2026,660
POS-00041,15/08/2026,688
POS-00042,15/07/2026,76
POS-00042,15/08/2026,96
POS-00043,15/07/2026,204
POS-00043,15/08/2026,198
POS-00044,15/07/2026,137
POS-00044,15/08/2026,107
POS-00045,15/07/2026,14
POS-00045,15/08/2026,0
POS-00046,15/07/2026,232
POS-00046,15/08/2026,188
POS-00047,15/07/2026,408
POS-00047,15/08/2026,406
POS-00048,15/07/2026,657
POS-00048,15/08/2026,625
POS-00049,15/07/2026,326
POS-00049,15/08/2026,336
POS-00050,15/07/2026,239
POS-00050,15/08/2026,246
POS-00051,15/07/2026,476
POS-00051,15/08/2026,474
POS-00052,15/07/2026,87
POS-00052,15/08/2026,100
POS-00053,15/07/2026,50
POS-00053,15/08/2026,0
POS-00054,15/07/2026,214
POS-00054,15/08/2026,178
POS-00055,15/07/2026,684
POS-00055,15/08/2026,727
POS-00056,15/07/2026,6
POS-00056,15/08/2026,0
POS-00057,15/07/2026,323
POS-00057,15/08/2026,278
POS-00058,15/07/2026,171
POS-00058,15/08/2026,168
POS-00059,15/07/2026,495
POS-00059,15/08/2026,480
POS-00060,15/07/2026,652
POS-00060,15/08/2026,688
POS-00061,15/07/2026,326
POS-00061,15/08/2026,341
POS-00062,15/07/2026,343
POS-00062,15/08/2026,280
POS-00063,15/07/2026,246
POS-00063,15/08/2026,251
POS-00064,15/07/2026,443
POS-00064,15/08/2026,373
POS-00065,15/07/2026,91
POS-00065,15/08/2026,54
POS-00066,15/07/2026,110
POS-00066,15/08/2026,138
POS-00067,15/07/2026,23
POS-00067,15/08/2026,0
POS-00068,15/07/2026,551
POS-00068,15/08/2026,550
POS-00069,15/07/2026,123
POS-00069,15/08/2026,139
POS-00070,15/07/2026,571
POS-00070,15/08/2026,517
POS-00071,15/07/2026,440
POS-00071,15/08/2026,444
POS-00072,15/07/2026,506
POS-00072,15/08/2026,432
POS-00073,15/07/2026,545
POS-00073,15/08/2026,520
POS-00074,15/07/2026,374
POS-00074,15/08/2026,350
POS-00075,15/07/2026,199
POS-00075,15/08/2026,135
POS-00076,15/07/2026,440
POS-00076,15/08/2026,450
POS-00077,15/07/2026,381
POS-00077,15/08/2026,328
POS-00078,15/07/2026,7
POS-00078,15/08/2026,0
POS-00079,15/07/2026,492
POS-00079,15/08/2026,496
POS-00080,15/07/2026,128
POS-00080,15/08/2026,114
POS-00081,15/07/2026,298
POS-00081,15/08/2026,313
POS-00082,15/07/2026,590
POS-00082,15/08/2026,551
POS-00083,15/07/2026,177
POS-00083,15/08/2026,165
POS-00084,15/07/2026,510
POS-00084,15/08/2026,457
POS-00085,15/07/2026,61
POS-00085,15/08/2026,0
POS-00086,15/07/2026,176
POS-00086,15/08/2026,192
POS-00087,15/07/2026,682
POS-00087,15/08/2026,658
POS-00088,15/07/2026,633
