Bill No,Item Code,Bill Date,Qty,Amount,Discount
POS-260525-00001,POS-00010,25/05/2026,3,8501.70,303.33
POS-260819-00002,POS-00055,19/08/2026,2,3624.32,138.62
POS-260805-00003,POS-00103,05/08/2026,1,1534.12,180.49
POS-260512-00004,POS-00006,12/05/2026,1,1518.90,195.43
POS-260729-00005,POS-00013,29/07/2026,1,2260.60,122.77
POS-260812-00006,POS-00095,12/08/2026,1,3293.67,132.11
POS-260611-00007,POS-00002,11/06/2026,2,6883.94,501.92
POS-260621-00008,POS-00112,21/06/2026,1,1412.42,46.75
POS-260709-00009,POS-00049,09/07/2026,3,7708.29,846.05
POS-260622-00010,POS-00041,22/06/2026,2,3025.10,347.89
POS-260618-00011,POS-00111,18/06/2026,4,2042.44,196.03
POS-260819-00012,POS-00015,19/08/2026,2,1267.38,142.59
POS-260818-00013,POS-00023,18/08/2026,2,7896.22,1000.69
POS-260506-00014,POS-00089,06/05/2026,3,8852.49,55.13
POS-260729-00015,POS-00011,29/07/2026,2,4536.60,133.75
POS-260827-00016,POS-00103,27/08/2026,1,1465.09,19.57
POS-260506-00017,POS-00005,06/05/2026,2,4829.92,732.92
POS-260728-00018,POS-00013,28/07/2026,1,2067.60,119.00
POS-260626-00019,POS-00032,26/06/2026,2,8405.58,1224.89
POS-260803-00020,POS-00110,03/08/2026,1,1663.35,19.71
POS-260724-00021,POS-00043,24/07/2026,1,950.75,100.81
POS-260823-00022,POS-00046,23/08/2026,2,5160.50,299.04
POS-260621-00023,POS-00084,21/06/2026,1,1634.61,256.41
POS-260607-00024,POS-00098,07/06/2026,4,9622.60,607.03
POS-260510-00025,POS-00010,10/05/2026,3,8168.85,575.58
POS-260509-00026,POS-00096,09/05/2026,1,1643.27,44.87
POS-260801-00027,POS-00017,01/08/2026,1,2071.25,206.41
POS-260526-00028,POS-00009,26/05/2026,2,2122.18,85.20
POS-260623-00029,POS-00106,23/06/2026,1,1767.58,173.63
POS-260806-00030,POS-00073,06/08/2026,3,2138.31,87.71
