SKU,Snapshot Date,Available
SHP-00001,2026-07-15,6
SHP-00001,2026-08-15,42
SHP-00002,2026-07-15,101
SHP-00002,2026-08-15,41
SHP-00003,2026-07-15,547
SHP-00003,2026-08-15,581
SHP-00004,2026-07-15,174
SHP-00004,2026-08-15,163
SHP-00005,2026-07-15,88
SHP-00005,2026-08-15,108
SHP-00006,2026-07-15,134
SHP-00006,2026-08-15,110
SHP-00007,2026-07-15,261
SHP-00007,2026-08-15,245
SHP-00008,2026-07-15,189
SHP-00008,2026-08-15,198
SHP-00009,2026-07-15,166
SHP-00009,2026-08-15,164
SHP-00010,2026-07-15,221
SHP-00010,2026-08-15,245
SHP-00011,2026-07-15,155
SHP-00011,2026-08-15,178
SHP-00012,2026-07-15,9
SHP-00012,2026-08-15,45
SHP-00013,2026-07-15,345
SHP-00013,2026-08-15,329
SHP-00014,2026-07-15,379
SHP-00014,2026-08-15,351
SHP-00015,2026-07-15,298
SHP-00015,2026-08-15,300
SHP-00016,2026-07-15,579
SHP-00016,2026-08-15,583
SHP-00017,2026-07-15,312
SHP-00017,2026-08-15,281
SHP-00018,2026-07-15,317
SHP-00018,2026-08-15,269
SHP-00019,2026-07-15,527
SHP-00019,2026-08-15,474
SHP-00020,2026-07-15,552
SHP-00020,2026-08-15,523
SHP-00021,2026-07-15,308
SHP-00021,2026-08-15,324
SHP-00022,2026-07-15,349
SHP-00022,2026-08-15,322
SHP-00023,2026-07-15,17
SHP-00023,2026-08-15,13
SHP-00024,2026-07-15,125
SHP-00024,2026-08-15,125
SHP-00025,2026-07-15,131
SHP-00025,2026-08-15,122
SHP-00026,2026-07-15,440
SHP-00026,2026-08-15,383
SHP-00027,2026-07-15,573
SHP-00027,2026-08-15,570
SHP-00028,2026-07-15,691
SHP-00028,2026-08-15,658
SHP-00029,2026-07-15,569
SHP-00029,2026-08-15,545
SHP-00030,2026-07-15,604
SHP-00030,2026-08-15,562
SHP-00031,2026-07-15,351
SHP-00031,2026-08-15,279
SHP-00032,2026-07-15,205
SHP-00032,2026-08-15,152
SHP-00033,2026-07-15,522
SHP-00033,2026-08-15,537
SHP-00034,2026-07-15,22
SHP-00034,2026-08-15,40
SHP-00035,2026-07-15,588
SHP-00035,2026-08-15,591
SHP-00036,2026-07-15,118
SHP-00036,2026-08-15,84
SHP-00037,2026-07-15,669
SHP-00037,2026-08-15,686
SHP-00038,2026-07-15,666
SHP-00038,2026-08-15,681
SHP-00039,2026-07-15,431
SHP-00039,2026-08-15,452
SHP-00040,2026-07-15,168
SHP-00040,2026-08-15,197
SHP-00041,2026-07-15,115
SHP-00041,2026-08-15,98
SHP-00042,2026-07-15,425
SHP-00042,2026-08-15,392
SHP-00043,2026-07-15,188
SHP-00043,2026-08-15,130
SHP-00044,2026-07-15,487
SHP-00044,2026-08-15,526
SHP-00045,2026-07-15,19
SHP-00045,2026-08-15,0
SHP-00046,2026-07-15,501
SHP-00046,2026-08-15,495
SHP-00047,2026-07-15,639
SHP-00047,2026-08-15,631
SHP-00048,2026-07-15,691
SHP-00048,2026-08-15,632
SHP-00049,2026-07-15,490
SHP-00049,2026-08-15,439
SHP-00050,2026-07-15,520
SHP-00050,2026-08-15,480
SHP-00051,2026-07-15,604
SHP-00051,2026-08-15,599
SHP-00052,2026-07-15,449
SHP-00052,2026-08-15,489
SHP-00053,2026-07-15,236
SHP-00053,2026-08-15,279
SHP-00054,2026-07-15,199
SHP-00054,2026-08-15,124
SHP-00055,2026-07-15,459
SHP-00055,2026-08-15,388
SHP-00056,2026-07-15,24
SHP-00056,2026-08-15,55
SHP-00057,2026-07-15,596
SHP-00057,2026-08-15,628
SHP-00058,2026-07-15,244
SHP-00058,2026-08-15,251
SHP-00059,2026-07-15,423
SHP-00059,2026-08-15,452
SHP-00060,2026-07-15,558
SHP-00060,2026-08-15,600
SHP-00061,2026-07-15,406
SHP-00061,2026-08-15,349
SHP-00062,2026-07-15,252
SHP-00062,2026-08-15,234
SHP-00063,2026-07-15,377
SHP-00063,2026-08-15,337
SHP-00064,2026-07-15,215
SHP-00064,2026-08-15,163
SHP-00065,2026-07-15,377
SHP-00065,2026-08-15,338
SHP-00066,2026-07-15,333
SHP-00066,2026-08-15,355
SHP-00067,2026-07-15,5
SHP-00067,2026-08-15,0
SHP-00068,2026-07-15,610
SHP-00068,2026-08-15,638
SHP-00069,2026-07-15,500
SHP-00069,2026-08-15,514
SHP-00070,2026-07-15,515
