Return ID,Order Name,Lineitem sku,Return Date,Return Quantity,Return Reason,Refund Amount
SHP-RET-00001,SHP-260506-00388,SHP-00049,2026-05-09,1,Size or fit issue,2241.84
SHP-RET-00002,SHP-260605-00239,SHP-00002,2026-07-03,1,Late delivery,3209.05
SHP-RET-00003,SHP-260515-00399,SHP-00101,2026-06-04,2,Defective product,2578.7
SHP-RET-00004,SHP-260528-00014,SHP-00050,2026-06-06,1,Wrong item received,2898.63
SHP-RET-00005,SHP-260508-00317,SHP-00084,2026-05-23,2,Duplicate purchase,2633.88
SHP-RET-00006,SHP-260517-00079,SHP-00112,2026-06-06,1,Size or fit issue,1210.86
SHP-RET-00007,SHP-260611-00230,SHP-00029,2026-07-04,1,Missing accessory,1860.02
SHP-RET-00008,SHP-260518-00260,SHP-00080,2026-06-10,2,Quality concern,6901.58
SHP-RET-00009,SHP-260625-00153,SHP-00094,2026-07-02,1,Late delivery,3162.0
SHP-RET-00010,SHP-260625-00270,SHP-00011,2026-06-30,1,Size or fit issue,2066.95
SHP-RET-00011,SHP-260519-00108,SHP-00038,2026-06-11,1,Defective product,2680.29
SHP-RET-00012,SHP-260522-00095,SHP-00059,2026-06-21,1,Duplicate purchase,2823.23
SHP-RET-00013,SHP-260525-00002,SHP-00067,2026-06-12,1,Size or fit issue,1520.67
SHP-RET-00014,SHP-260505-00395,SHP-00031,2026-06-02,1,Damaged in transit,1692.23
SHP-RET-00015,SHP-260801-00009,SHP-00045,2026-08-09,2,Damaged in transit,588.77
SHP-RET-00016,SHP-260510-00233,SHP-00099,2026-06-05,1,Size or fit issue,531.07
SHP-RET-00017,SHP-260703-00140,SHP-00100,2026-08-01,1,Product not as expected,1395.09
SHP-RET-00018,SHP-260712-00278,SHP-00085,2026-08-01,1,Wrong item received,911.72
SHP-RET-00019,SHP-260503-00256,SHP-00097,2026-05-07,1,Customer changed mind,1327.14
SHP-RET-00020,SHP-260623-00040,SHP-00005,2026-07-20,1,Product not as expected,2067.28
SHP-RET-00021,SHP-260612-00329,SHP-00010,2026-06-18,1,Quality concern,2535.5
SHP-RET-00022,SHP-260721-00356,SHP-00043,2026-08-15,1,Customer changed mind,744.87
SHP-RET-00023,SHP-260719-00343,SHP-00036,2026-08-17,2,Damaged in transit,953.65
SHP-RET-00024,SHP-260729-00231,SHP-00081,2026-08-18,1,Late delivery,328.13
SHP-RET-00025,SHP-260806-00357,SHP-00044,2026-08-31,1,Wrong item received,3542.29
SHP-RET-00026,SHP-260527-00295,SHP-00032,2026-06-10,3,Defective product,12435.19
SHP-RET-00027,SHP-260616-00287,SHP-00069,2026-07-10,1,Defective product,582.98
SHP-RET-00028,SHP-260605-00228,SHP-00091,2026-06-12,3,Customer changed mind,3978.84
SHP-RET-00029,SHP-260531-00301,SHP-00092,2026-06-21,1,Defective product,1309.33
SHP-RET-00030,SHP-260703-00358,SHP-00044,2026-07-26,3,Duplicate purchase,11096.21
SHP-RET-00031,SHP-260628-00309,SHP-00068,2026-07-04,1,Damaged in transit,4600.68
SHP-RET-00032,SHP-260505-00303,SHP-00110,2026-05-09,1,Duplicate purchase,1484.07
SHP-RET-00033,SHP-260509-00158,SHP-00013,2026-06-05,1,Wrong item received,1904.75
SHP-RET-00034,SHP-260506-00243,SHP-00077,2026-05-28,2,Damaged in transit,3011.71
SHP-RET-00035,SHP-260617-00263,SHP-00088,2026-07-17,2,Missing accessory,3270.63
SHP-RET-00036,SHP-260722-00280,SHP-00033,2026-08-19,2,Customer changed mind,864.86
SHP-RET-00037,SHP-260602-00133,SHP-00099,2026-06-15,1,Customer changed mind,502.32
SHP-RET-00038,SHP-260731-00214,SHP-00008,2026-08-23,2,Customer changed mind,5566.34
