Name,Lineitem sku,Created at,Lineitem quantity,Lineitem price,Discount Amount,Shipping,Taxes
SHP-260801-00001,SHP-00013,2026-08-01 16:37:00 +0530,4,8709.80,223.84,0.00,645.61
SHP-260525-00002,SHP-00067,2026-05-25 14:21:00 +0530,1,1559.67,1.72,120.00,246.53
SHP-260608-00003,SHP-00080,2026-06-08 12:13:00 +0530,2,7595.36,572.57,0.00,582.74
SHP-260601-00004,SHP-00063,2026-06-01 17:39:00 +0530,2,517.74,3.63,80.00,49.32
SHP-260806-00005,SHP-00101,2026-08-06 18:11:00 +0530,2,2708.04,230.41,0.00,150.28
SHP-260811-00006,SHP-00008,2026-08-11 13:50:00 +0530,1,2954.00,283.99,40.00,255.30
SHP-260626-00007,SHP-00065,2026-06-26 18:35:00 +0530,4,8169.64,796.31,60.00,702.18
SHP-260514-00008,SHP-00062,2026-05-14 11:11:00 +0530,1,1511.83,11.23,0.00,163.14
SHP-260801-00009,SHP-00045,2026-08-01 10:18:00 +0530,4,1423.48,173.78,0.00,82.62
SHP-260620-00010,SHP-00067,2026-06-20 16:58:00 +0530,1,1739.49,63.92,0.00,259.04
SHP-260816-00011,SHP-00097,2026-08-16 08:32:00 +0530,1,1630.96,31.39,0.00,243.97
SHP-260826-00012,SHP-00085,2026-08-26 14:08:00 +0530,2,1795.86,48.45,60.00,94.67
SHP-260604-00013,SHP-00026,2026-06-04 13:17:00 +0530,4,5601.28,320.38,40.00,377.25
SHP-260528-00014,SHP-00050,2026-05-28 14:08:00 +0530,1,3561.07,560.83,40.00,190.51
SHP-260818-00015,SHP-00013,2026-08-18 20:55:00 +0530,1,2140.25,199.08,80.00,179.57
SHP-260702-00016,SHP-00010,2026-07-02 08:45:00 +0530,1,2859.24,428.82,80.00,178.81
SHP-260624-00017,SHP-00101,2026-06-24 16:49:00 +0530,1,1484.23,131.95,0.00,180.40
SHP-260528-00018,SHP-00117,2026-05-28 11:27:00 +0530,3,1257.06,4.59,40.00,153.00
SHP-260807-00019,SHP-00104,2026-08-07 18:45:00 +0530,1,3342.75,447.49,0.00,161.45
SHP-260510-00020,SHP-00041,2026-05-10 13:30:00 +0530,4,6689.40,643.75,0.00,876.65
SHP-260707-00021,SHP-00084,2026-07-07 17:26:00 +0530,2,3152.12,279.55,0.00,324.26
SHP-260802-00022,SHP-00015,2026-08-02 12:28:00 +0530,1,708.82,33.98,120.00,37.98
SHP-260825-00023,SHP-00044,2026-08-25 17:37:00 +0530,3,11710.77,74.73,40.00,745.97
SHP-260707-00024,SHP-00005,2026-07-07 18:29:00 +0530,2,4903.08,259.81,0.00,720.83
SHP-260801-00025,SHP-00071,2026-08-01 09:03:00 +0530,4,7173.72,100.96,0.00,714.99
SHP-260620-00026,SHP-00043,2026-06-20 14:56:00 +0530,1,929.71,67.72,0.00,64.88
SHP-260813-00027,SHP-00061,2026-08-13 11:07:00 +0530,1,2422.41,284.29,0.00,181.65
SHP-260716-00028,SHP-00106,2026-07-16 20:02:00 +0530,1,1796.52,240.65,80.00,57.61
SHP-260712-00029,SHP-00030,2026-07-12 16:00:00 +0530,1,1520.18,128.50,0.00,179.09
SHP-260610-00030,SHP-00030,2026-06-10 12:34:00 +0530,2,3175.04,11.51,0.00,346.63
SHP-260525-00031,SHP-00090,2026-05-25 17:26:00 +0530,2,2516.94,271.80,60.00,363.83
SHP-260729-00032,SHP-00033,2026-07-29 12:27:00 +0530,1,502.42,20.68,80.00,26.89
SHP-260716-00033,SHP-00045,2026-07-16 20:27:00 +0530,1,321.22,47.79,0.00,11.20
SHP-260517-00034,SHP-00105,2026-05-17 16:02:00 +0530,1,388.46,25.16,120.00,35.35
SHP-260509-00035,SHP-00041,2026-05-09 14:28:00 +0530,1,1511.98,135.68,0.00,61.68
SHP-260821-00036,SHP-00096,2026-08-21 08:54:00 +0530,1,1661.93,51.31,0.00,105.31
SHP-260609-00037,SHP-00025,2026-06-09 17:26:00 +0530,1,1507.64,151.23,0.00,78.16
SHP-260602-00038,SHP-00077,2026-06-02 20:39:00 +0530,2,3624.38,177.42,0.00,238.51
SHP-260620-00039,SHP-00006,2026-06-20 13:15:00 +0530,2,3062.22,402.68,0.00,271.00
SHP-260623-00040,SHP-00005,2026-06-23 15:11:00 +0530,3,7308.75,704.08,80.00,617.11
SHP-260609-00041,SHP-00119,2026-06-09 18:19:00 +0530,2,8386.44,1188.41,60.00,613.78
SHP-260516-00042,SHP-00108,2026-05-16 19:51:00 +0530,3,7308.48,1118.30,120.00,998.39
SHP-260827-00043,SHP-00050,2026-08-27 18:57:00 +0530,1,3592.28,413.65,80.00,180.13
SHP-260825-00044,SHP-00040,2026-08-25 16:33:00 +0530,1,1693.71,54.12,120.00,76.80
SHP-260630-00045,SHP-00103,2026-06-30 21:45:00 +0530,1,1507.74,108.16,60.00,223.09
SHP-260603-00046,SHP-00119,2026-06-03 09:36:00 +0530,2,8479.22,355.84,120.00,356.49
SHP-260703-00047,SHP-00091,2026-07-03 21:11:00 +0530,2,2857.30,289.04,0.00,461.78
SHP-260615-00048,SHP-00115,2026-06-15 09:23:00 +0530,1,2364.63,131.27,0.00,280.80
SHP-260510-00049,SHP-00065,2026-05-10 19:51:00 +0530,1,1986.29,104.29,120.00,80.87
SHP-260611-00050,SHP-00043,2026-06-11 10:20:00 +0530,1,879.81,84.78,0.00,133.71
SHP-260601-00051,SHP-00071,2026-06-01 12:41:00 +0530,3,5114.22,131.60,80.00,416.90
SHP-260602-00052,SHP-00087,2026-06-02 17:34:00 +0530,2,544.50,29.59,80.00,18.72
SHP-260615-00053,SHP-00102,2026-06-15 14:54:00 +0530,1,1766.35,211.61,0.00,202.00
SHP-260703-00054,SHP-00050,2026-07-03 12:25:00 +0530,3,10873.05,1573.30,60.00,1573.95
SHP-260604-00055,SHP-00079,2026-06-04 14:53:00 +0530,1,2105.81,26.03,80.00,106.75
SHP-260529-00056,SHP-00052,2026-05-29 14:59:00 +0530,4,4964.96,657.94,0.00,333.17
SHP-260711-00057,SHP-00099,2026-07-11 10:12:00 +0530,1,559.89,61.08,60.00,34.09
SHP-260525-00058,SHP-00071,2026-05-25 08:46:00 +0530,3,5405.01,677.50,0.00,275.81
SHP-260524-00059,SHP-00080,2026-05-24 19:58:00 +0530,1,3936.86,585.92,0.00,382.95
SHP-260515-00060,SHP-00001,2026-05-15 09:02:00 +0530,1,751.48,37.54,40.00,56.30
SHP-260601-00061,SHP-00063,2026-06-01 15:21:00 +0530,2,532.14,12.48,0.00,58.68
SHP-260730-00062,SHP-00020,2026-07-30 16:11:00 +0530,1,1516.26,64.93,0.00,212.19
SHP-260605-00063,SHP-00085,2026-06-05 21:23:00 +0530,2,1790.24,274.96,40.00,79.04
SHP-260731-00064,SHP-00120,2026-07-31 12:49:00 +0530,1,2798.65,417.55,80.00,302.16
SHP-260518-00065,SHP-00078,2026-05-18 13:43:00 +0530,4,2671.40,189.31,60.00,319.46
SHP-260630-00066,SHP-00032,2026-06-30 13:48:00 +0530,1,4113.69,621.30,80.00,186.26
SHP-260501-00067,SHP-00020,2026-05-01 18:32:00 +0530,3,4625.13,200.20,80.00,681.43
SHP-260508-00068,SHP-00080,2026-05-08 16:31:00 +0530,1,3994.51,477.75,0.00,197.58
SHP-260503-00069,SHP-00022,2026-05-03 08:06:00 +0530,1,3078.05,31.29,60.00,404.60
SHP-260605-00070,SHP-00091,2026-06-05 17:05:00 +0530,2,3154.04,401.77,0.00,140.94
SHP-260717-00071,SHP-00045,2026-07-17 20:12:00 +0530,2,716.72,23.82,0.00,91.76
SHP-260703-00072,SHP-00012,2026-07-03 21:21:00 +0530,1,1209.15,5.02,60.00,36.18
SHP-260601-00073,SHP-00004,2026-06-01 15:18:00 +0530,4,8160.16,186.94,120.00,732.07
SHP-260815-00074,SHP-00110,2026-08-15 12:18:00 +0530,2,3286.04,452.38,0.00,191.49
SHP-260706-00075,SHP-00028,2026-07-06 12:52:00 +0530,1,1822.78,147.81,0.00,78.57
SHP-260504-00076,SHP-00064,2026-05-04 17:32:00 +0530,1,1362.56,171.35,0.00,141.42
